Material,C,Mn,P,S,Si,Ni,Cr,Mo,Fe
Steel SAE 1015,0.136184,0.342828,0.001075,0.007927,0,0,0,0,99.511986
Steel SAE 1015,0.149983,0.563571,0.027726,0.028617,0,0,0,0,99.230103
Steel SAE 1015,0.172061,0.356569,0.002655,0.045889,0,0,0,0,99.422826
Steel SAE 1020,0.220168,0.455266,0.027873,0.020515,0,0,0,0,99.276178
Steel SAE 1020,0.222798,0.465205,0.014807,0.036727,0,0,0,0,99.260463
Steel SAE 1020,0.217434,0.449034,0.034043,0.011538,0,0,0,0,99.287951
Steel SAE 1022,0.199387,0.825702,0.026212,0.032217,0,0,0,0,98.916482
Steel SAE 1022,0.229056,0.704931,0.026564,0.022017,0,0,0,0,99.017432
Steel SAE 1022,0.227444,0.914473,0.034345,0.01729,0,0,0,0,98.806448
Steel SAE 1030,0.284595,0.607157,0.013782,0.036122,0,0,0,0,99.058344
Steel SAE 1030,0.307813,0.716422,0.003758,0.045483,0,0,0,0,98.926525
Steel SAE 1030,0.281862,0.680717,0.010307,0.046376,0,0,0,0,98.980739
Steel SAE 1030,0.337678,0.818081,0.024682,0.042328,0,0,0,0,98.77723
Steel SAE 1040,0.393637,0.79458,0.037447,0.03539,0,0,0,0,98.738946
Steel SAE 1040,0.375107,0.625425,0.029199,0.00911,0,0,0,0,98.961158
Steel SAE 1040,0.400175,0.657532,0.006709,0.04246,0,0,0,0,98.893124
Steel SAE 1040,0.433312,0.731918,0.022672,0.015168,0,0,0,0,98.79693
Steel SAE 1050,0.489641,0.773034,0.037658,0.032042,0,0,0,0,98.667625
Steel SAE 1050,0.4809,0.729633,0.023839,0.042379,0,0,0,0,98.72325
Steel SAE 1050,0.487313,0.841987,0.017551,0.031002,0,0,0,0,98.622147
Steel SAE 1050,0.487947,0.819861,0.030058,0.026195,0,0,0,0,98.635939
Steel SAE 1060,0.659803,0.784751,0.026873,0.029407,0,0,0,0,98.499167
Steel SAE 1060,0.604024,0.68118,0.007335,0.047318,0,0,0,0,98.660143
Steel SAE 1060,0.600816,0.834557,0.036783,0.024447,0,0,0,0,98.503398
Steel SAE 1060,0.570236,0.873661,0.028906,0.003261,0,0,0,0,98.523938
