Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,C,Mn,P,S,Si,Ni,Cr,Mo,Fe
Steel SAE 1015,as-rolled,421,314,39.0,126.0,207000,79000,0.3,7860,0.136184,0.342828,0.001075,0.007927,0.0,0.0,0.0,0.0,99.511986
Steel SAE 1015,normalized,424,324,37.0,121.0,207000,79000,0.3,7860,0.149983,0.563571,0.027726,0.028617,0.0,0.0,0.0,0.0,99.230103
Steel SAE 1015,annealed,386,284,37.0,111.0,207000,79000,0.3,7860,0.172061,0.356569,0.002655,0.045889,0.0,0.0,0.0,0.0,99.422826
Steel SAE 1020,as-rolled,448,331,36.0,143.0,207000,79000,0.3,7860,0.220168,0.455266,0.027873,0.020515,0.0,0.0,0.0,0.0,99.276178
Steel SAE 1020,normalized,441,346,35.8,131.0,207000,79000,0.3,7860,0.222798,0.465205,0.014807,0.036727,0.0,0.0,0.0,0.0,99.260463
Steel SAE 1020,annealed,395,295,36.5,111.0,207000,79000,0.3,7860,0.217434,0.449034,0.034043,0.011538,0.0,0.0,0.0,0.0,99.287951
Steel SAE 1022,as-rolled,503,359,35.0,149.0,207000,79000,0.3,7860,0.199387,0.825702,0.026212,0.032217,0.0,0.0,0.0,0.0,98.916482
Steel SAE 1022,normalized,483,359,34.0,143.0,207000,79000,0.3,7860,0.229056,0.704931,0.026564,0.022017,0.0,0.0,0.0,0.0,99.017432
Steel SAE 1022,annealed,450,317,35.0,137.0,207000,79000,0.3,7860,0.227444,0.914473,0.034345,0.01729,0.0,0.0,0.0,0.0,98.806448
Steel SAE 1030,as-rolled,552,345,32.0,179.0,207000,79000,0.3,7860,0.284595,0.607157,0.013782,0.036122,0.0,0.0,0.0,0.0,99.058344
Steel SAE 1030,normalized,517,345,32.0,149.0,207000,79000,0.3,7860,0.307813,0.716422,0.003758,0.045483,0.0,0.0,0.0,0.0,98.926525
Steel SAE 1030,annealed,464,341,31.0,126.0,207000,79000,0.3,7860,0.281862,0.680717,0.010307,0.046376,0.0,0.0,0.0,0.0,98.980739
Steel SAE 1030,tempered at 400 F,848,648,17.0,495.0,207000,79000,0.3,7860,0.337678,0.818081,0.024682,0.042328,0.0,0.0,0.0,0.0,98.77723
Steel SAE 1040,as-rolled,621,414,25.0,201.0,207000,79000,0.3,7860,0.393637,0.79458,0.037447,0.03539,0.0,0.0,0.0,0.0,98.738946
Steel SAE 1040,normalized,590,374,28.0,170.0,207000,79000,0.3,7860,0.375107,0.625425,0.029199,0.00911,0.0,0.0,0.0,0.0,98.961158
